|Pattie Sellers| |Executive Dir., Fortune MPW Summits & Live Content, Time Inc.| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/pattie-sellers-208x208.png |2018-03-03 12:04:55.160652|
|Sallie Krawcheck| |CEO & Co-Founder, Ellevest| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/sallie-krawcheck-208x208.png |2018-03-03 12:04:55.163166|
|Sarah McBride| |National Press Secretary, Human Rights Campaign| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/sarah-mcbride-208x208.png |2018-03-03 12:04:55.165817|
|Tan Le| |CEO & Founder, Emotiv| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-le.png |2018-03-03 12:04:55.167795|
|Jeff Lawson| |Co-Founder & CEO, Twilio| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-lawson.png |2018-03-03 12:04:55.170188|
|Haben Girma| |Disability Rights Lawyer, Author| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/haben-girma-208x208.png |2018-03-03 12:04:55.172700|
|Janet Foutty| |Chairman and CEO, Deloitte Consulting LLP| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/janet-foutty-208x208.png |2018-03-03 12:04:55.175067|
|Jason Chinnock| |Chief Executive Officer, Ducati North America| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/jason-chinnock-208x208.png |2018-03-03 12:04:55.177613|
|Lady Lynn Forester de Rothschild| |Founder and Chief Executive, Coalition for Inclusive Capitalism| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/lynn-forester-208x208.png |2018-03-03 12:04:55.180239|
|Lisa Jaster| |Major, US Army Reserve; Graduate, US Army Ranger School| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/lisa-jaster-208x208.png |2018-03-03 12:04:55.182905|
|Magdalena Yesil| |Co-Founder, DriveInformed; Author, Power Up: How Smart Women Win in the New Economy | https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/magdalena-yesil-208x208.png |2018-03-03 12:04:55.185022|
|Michele Norris| |Founding Director The Race Card Project / Executive Director The Bridge at The Aspen Institute| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/michele-norris-208x208.png |2018-03-03 12:04:55.186567|
|Paul Daugherty| |Chief Technology & Innovation Officer,  Accenture| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/paul-daugherty-208x208.png |2018-03-03 12:04:55.188033|
|Paul Cheesbrough| |Chief Technology Officer, 21st Century Fox| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/paul-cheesbrough-208x208.png |2018-03-03 12:04:55.189572|
|Peter Bouckaert| |Director of Emergencies, Human Rights Watch| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/peter-bouckaert-208x208.png |2018-03-03 12:04:55.191027|
|Zvika Krieger| |Head of Technology Policy & Partnerships| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/zvika-krieger-208x208.png |2018-03-03 12:04:55.192505|
|Mark Cuban| Entrepreneur https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-cuban.png |2018-03-03 12:04:55.194828|
|Laurene Powell Jobs| |Founder and President of Emerson Collective| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/laurene-powell-jobs-208x208.png |2018-03-03 12:04:55.197438|
|Carlos Watson| |CEO & Co-Founder of OZY.com| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/carlos-watson-208x208.png |2018-03-03 12:04:55.199617|
JR Artist https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/jr-208x208.png |2018-03-03 12:04:55.201810|
|Natalie Portman| |Academy Award-Winning Actress, Filmmaker & Humanitarian| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/natalie-portman-208x208.png |2018-03-03 12:04:55.203110|
|Robin Bordoli| |CEO, CrowdFlower| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-bio-208x208-bordoli.png |2018-03-03 12:04:55.204506|
|Chaplain Earl A. Smith| |CEO Concerned About Recovery Education (CARE)| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-bio-208x208-smith.png |2018-03-03 12:04:55.206581|
|Nicholas Davis| |Head of Society and Innovation, World Economic Forum| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-bio-208x208-davis.png |2018-03-03 12:04:55.208022|
|Peter Norvig| |Director of Research, Google| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-norvig.png |2018-03-03 12:04:55.209590|
|Saadia Zahidi| |Head of Education, Gender and Work System Initiative, Member of Executive Committee, World Economic Forum| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-bio-208x208-zahidi.png |2018-03-03 12:04:55.211084|
|Suchi Saria| |Assistant Professor, Johns Hopkins University| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-bio-208x208-saria.png |2018-03-03 12:04:55.212553|
|Iris Brilliant| |Resource Generation, National Organizer and Coordinator Of Family Philanthropy| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-bio-208x208-brilliant.png |2018-03-03 12:04:55.213636|
